"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","7","1","1.025793","0","7"
"/Game/Characters/AlienSkins/Custom/M_Purple.M_Purple","0","3","3","1","1.891129","0","3"
"/Game/Materials/M_Bounds.M_Bounds","0","16","16","1","0.000000","0","16"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","0.000000","0","2"
"/DatasmithContent/Materials/FBXImporter/VRED/BrushedMetal.BrushedMetal","0","3","3","1","2.563338","0","3"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","45","50","6","23.817522","1","50"
"/InterchangeAssets/CAD/Wire/Materials/M_WireBlinnShader.M_WireBlinnShader","0","3","3","1","2.529075","0","3"
"/Engine/EngineDebugMaterials/TangentColorMaterial.TangentColorMaterial","0","6","6","1","5.186688","0","6"
"/GLTFExporter/Materials/Proxy/M_GLTF_Unlit.M_GLTF_Unlit","0","4","4","1","3.187123","0","4"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","0","2","2","1","1.624432","0","2"
"/InterchangeAssets/Materials/LambertSurfaceMaterial.LambertSurfaceMaterial","0","6","6","1","4.402859","0","6"
"/Engine/EngineMaterials/BlinkingCaret.BlinkingCaret","0","5","5","1","3.614476","0","5"
"/Game/Materials/M_Gold.M_Gold","0","3","3","1","1.958379","0","3"
"/Game/Materials/M_Glow.M_Glow","0","3","3","1","1.882715","0","3"
"/Game/Materials/M_Bounds4.M_Bounds4","0","8","8","1","5.247918","0","8"
"/Game/Materials/M_Bounds8.M_Bounds8","0","16","16","1","10.597111","0","16"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","3.225334","0","6"
"/Game/Materials/M_star.M_star","0","16","16","1","10.663435","0","16"
"/Game/Materials/M_MenuGraphic.M_MenuGraphic","0","3","3","1","1.969654","0","3"
"/Game/Characters/AlienSkins/Custom/M_Teal.M_Teal","0","3","3","1","1.991353","0","3"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","5","1","0.922723","0","5"
"/Game/Materials/glass.glass","0","3","3","1","1.940716","0","3"
"/Game/Materials/lambert1.lambert1","0","3","3","1","1.803865","0","3"
"/Game/Materials/alias.alias","0","3","3","1","1.866645","0","3"
"/Game/Materials/lambert2.lambert2","0","3","3","1","1.851897","0","3"
"/Game/Materials/pasted__pasted__glass.pasted__pasted__glass","0","3","3","1","1.788809","0","3"
"/Game/Materials/M_Bounds1.M_Bounds1","0","8","8","1","5.423805","0","8"
"/Engine/MapTemplates/Sky/M_BlackBackground.M_BlackBackground","0","2","2","1","0.920757","0","2"
"/Game/Materials/M_BlueRival.M_BlueRival","0","6","6","1","3.681754","0","6"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","24","24","1","18.422421","0","24"
"/Game/Characters/AlienSkins/Custom/M_Black.M_Black","0","3","3","1","1.852369","0","3"
"/Game/Characters/AlienSkins/Custom/M_Yellow.M_Yellow","0","3","3","1","1.987893","0","3"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","5","1","0.947097","0","5"
"/Engine/EditorLandscapeResources/MirrorPlaneMaterial.MirrorPlaneMaterial","0","7","7","1","5.052066","0","7"
"/Game/Characters/AlienSkins/Custom/M_Slate.M_Slate","0","3","3","1","1.885181","0","3"
"/Game/Characters/AlienSkins/Custom/M_Tan.M_Tan","0","3","3","1","1.822729","0","3"
"/Game/Characters/AlienSkins/Custom/M_Blue.M_Blue","0","3","3","1","1.918825","0","3"
"/Game/Characters/AlienSkins/Custom/M_Pink.M_Pink","0","3","3","1","1.852099","0","3"
"/Game/Characters/AlienSkins/Custom/M_Rose.M_Rose","0","3","3","1","1.844322","0","3"
"/Game/Characters/AlienSkins/Custom/Glow/M_GlowTeal.M_GlowTeal","0","3","3","1","1.928803","0","3"
"/Game/Characters/AlienSkins/Custom/M_Gray.M_Gray","0","3","3","1","1.888508","0","3"
"/Game/Characters/AlienSkins/Custom/M_Lime.M_Lime","0","3","3","1","1.825501","0","3"
"/Game/Characters/AlienSkins/Custom/M_Mint.M_Mint","0","3","3","1","1.935935","0","3"
"/Game/Characters/AlienSkins/Custom/M_Orange.M_Orange","0","3","3","1","2.000935","0","3"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","75","75","1","18.670578","0","75"
"/Game/Characters/AlienSkins/Custom/Glow/M_GlowRed.M_GlowRed","0","3","3","1","1.921991","0","3"
"/Game/Characters/AlienSkins/Custom/Glow/M_GlowYellow.M_GlowYellow","0","3","3","1","1.870683","0","3"
"/Game/Characters/AlienSkins/Custom/M_Brown.M_Brown","0","3","3","1","1.918013","0","3"
"/Game/Characters/AlienSkins/Custom/M_DarkGreen.M_DarkGreen","0","3","3","1","1.838536","0","3"
"/Game/Characters/AlienSkins/Custom/Glow/M_GlowRose.M_GlowRose","0","3","3","1","1.892771","0","3"
"/Game/Characters/AlienSkins/Custom/Glow/M_GlowCyan.M_GlowCyan","0","3","3","1","1.893399","0","3"
"/Game/Characters/AlienSkins/Custom/Glow/M_GlowMint.M_GlowMint","0","3","3","1","1.930713","0","3"
"/Game/Characters/AlienSkins/Custom/Glow/M_GlowBrown.M_GlowBrown","0","3","3","1","2.038129","0","3"
"/Game/Characters/AlienSkins/Custom/Glow/M_GlowDarkGreen.M_GlowDarkGreen","0","3","3","1","2.038565","0","3"
"/Game/Characters/AlienSkins/Custom/Glow/M_GlowPurple.M_GlowPurple","0","3","3","1","2.109243","0","3"
"/Game/Characters/AlienSkins/Custom/Glow/M_GlowSlate.M_GlowSlate","0","3","3","1","1.960280","0","3"
"/Game/Characters/AlienSkins/Custom/Glow/M_GlowTan.M_GlowTan","0","3","3","1","2.004636","0","3"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","25","25","1","1.566220","0","25"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","5","1","0.991162","0","5"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","12","14","1","11.719603","0","14"
"/Game/Characters/AlienSkins/Custom/Glow/M_GlowGray.M_GlowGray","0","3","3","1","1.982211","0","3"
"/Game/Characters/AlienSkins/Custom/Glow/M_GlowIndigo.M_GlowIndigo","0","3","3","1","1.924487","0","3"
"/Game/Characters/AlienSkins/Custom/Glow/M_GlowMaroon.M_GlowMaroon","0","3","3","1","1.886601","0","3"
"/Game/Characters/AlienSkins/Custom/Glow/M_GlowOrange.M_GlowOrange","0","3","3","1","1.907514","0","3"
"/Game/Characters/AlienSkins/Custom/Glow/M_GlowPink.M_GlowPink","0","3","3","1","2.046200","0","3"
